input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439988161.061	372392	21	0	0	z	z	zjjrwa	49.59	199.96	zjjrwa	Random	0	0	1
1439988161.311	372392	21	1	250	j	j	zjjrwa	49.59	199.96	zjjrwa	Random	250	0	1
1439988161.436	372392	21	2	125	j	j	zjjrwa	49.59	199.96	zjjrwa	Random	375	0	1
1439988161.623	372392	21	3	186	r	r	zjjrwa	49.59	199.96	zjjrwa	Random	561	0	1
1439988161.779	372392	21	4	156	w	w	zjjrwa	49.59	199.96	zjjrwa	Random	717	0	1
1439988162.029	372392	21	5	250	a	a	zjjrwa	49.59	199.96	zjjrwa	Random	967	0	1
1439988164.244	372392	22	0	0	a	a	awnjvd	48.1	200.2	awnjvd	Random	0	0	1
1439988164.431	372392	22	1	187	w	w	awnjvd	48.1	200.2	awnjvd	Random	187	0	1
1439988164.618	372392	22	2	187	n	n	awnjvd	48.1	200.2	awnjvd	Random	374	0	1
1439988164.837	372392	22	3	218	j	j	awnjvd	48.1	200.2	awnjvd	Random	592	0	1
1439988165.024	372392	22	4	187	v	v	awnjvd	48.1	200.2	awnjvd	Random	779	0	1
1439988165.242	372392	22	5	218	d	d	awnjvd	48.1	200.2	awnjvd	Random	998	0	1
1439988168.986	372392	23	0	0	z	z	zydfzz	49.64	200.64	zydfzz	Random	0	0	1
1439988169.111	372392	23	1	125	y	y	zydfzz	49.64	200.64	zydfzz	Random	125	0	1
1439988169.298	372392	23	2	187	d	d	zydfzz	49.64	200.64	zydfzz	Random	312	0	1
1439988169.517	372392	23	3	218	f	f	zydfzz	49.64	200.64	zydfzz	Random	530	0	1
1439988169.797	372392	23	4	279	z	z	zydfzz	49.64	200.64	zydfzz	Random	810	0	1
1439988169.953	372392	23	5	156	z	z	zydfzz	49.64	200.64	zydfzz	Random	967	0	1
1439988172.637	372392	24	0	0	l	l	lctddy	49.64	202.8	lctddy	Random	0	0	1
1439988172.761	372392	24	1	123	c	c	lctddy	49.64	202.8	lctddy	Random	123	0	1
1439988172.98	372392	24	2	219	t	t	lctddy	49.64	202.8	lctddy	Random	342	0	1
1439988173.261	372392	24	3	280	d	d	lctddy	49.64	202.8	lctddy	Random	623	0	1
